1880   -23  -20  -23  -25  -30  -40  -21  -19  -20  -27  -30  -22
1881   -28  -22   -2   -6   -4  -33  -10  -13  -29  -29  -33  -25
1882    -7    6   -9  -27  -23  -30  -27  -16  -24  -36  -30  -48
1883   -41  -36  -17  -17  -24   -9  -10  -19  -29  -29  -30  -23
1884   -22  -16  -32  -38  -32  -37  -27  -26  -32  -33  -34  -32
1885   -60  -32  -19  -35  -36  -41  -24  -27  -27  -26  -27  -13
1886   -42  -39  -33  -16  -16  -29   -2  -18  -20  -34  -25  -28
1887   -62  -51  -38  -39  -25  -25   -9  -29  -26  -42  -39  -38
1888   -38  -46  -46  -34  -25  -25  -22  -25  -21  -12   -3  -21
1889   -13    8   -4   -2   -5  -11  -17  -22  -23  -29  -35  -29
1890   -45  -41  -31  -33  -44  -36  -29  -33  -38  -26  -52  -35
1891   -45  -52  -18  -31  -20  -22  -26  -22  -19  -25  -40  -13
1892   -39   -8  -34  -44  -30  -21  -33  -29  -23  -33  -42  -47
1893   -87  -53  -16  -31  -36  -26  -11  -25  -24  -16  -21  -34
1894   -49  -33  -21  -39  -33  -41  -20  -25  -37  -29  -39  -30
1895   -54  -52  -30  -28  -30  -24  -21  -21  -13  -17  -12  -20
1896   -20  -16  -29  -38  -15  -13  -10  -14  -13   -2  -17  -13
1897   -21  -14  -18   -5   -1  -15   -2   -8  -15  -18  -19  -12
1898     6  -23  -48  -26  -34  -20  -17  -16  -21  -32  -39  -26
1899   -22  -36  -27  -21  -19  -22  -14  -11  -12   -5   13  -28
1900   -32    2   -2  -11   -6   -8  -11  -11   -7   -2  -16  -10
1901   -20   -1    1   -1  -13  -15  -18  -19  -26  -24  -24  -28
1902   -16    0  -24  -29  -31  -29  -18  -28  -29  -32  -42  -46
1903   -24    5  -14  -38  -34  -43  -28  -39  -45  -42  -31  -42
1904   -51  -45  -30  -41  -39  -37  -34  -31  -41  -30  -11  -20
1905   -30  -50  -18  -32  -27  -25  -19  -18  -19  -27   -8  -20
1906   -30  -30  -21   -4  -22  -13  -21  -10  -24  -15  -35  -12
1907   -45  -44  -25  -42  -49  -41  -37  -37  -29  -26  -43  -44
1908   -41  -22  -48  -42  -31  -26  -22  -33  -23  -33  -41  -40
1909   -58  -35  -45  -45  -39  -37  -33  -24  -25  -22  -20  -40
1910   -28  -30  -34  -30  -34  -36  -21  -26  -30  -32  -41  -56
1911   -52  -45  -48  -48  -40  -36  -25  -29  -25  -21  -16  -19
1912   -22  -16  -35  -20  -23  -23  -39  -53  -50  -53  -34  -35
1913   -39  -35  -35  -35  -40  -45  -35  -30  -30  -32  -19   -3
1914    -6  -11  -21  -27  -18  -20  -17  -13  -18    0  -16  -15
1915   -21   -6  -13    2    1    2    0  -14   -5  -20   -9  -20
1916   -15  -16  -32  -26  -33  -34  -27  -22  -29  -21  -40  -66
1917   -43  -53  -47  -40  -54  -38  -18  -23  -18  -38  -32  -70
1918   -48  -41  -27  -43  -44  -31  -29  -37  -23   -8  -20  -32
1919   -19  -20  -18   -9  -16  -15  -17  -15  -11  -17  -45  -34
1920   -12  -19    2  -10  -10  -17  -21  -16  -19  -25  -28  -45
1921     0  -17  -13  -12  -18  -10    0  -24  -20   -8  -17  -18
1922   -31  -36  -18  -23  -29  -24  -14  -25  -29  -25  -17  -18
1923   -24  -28  -23  -33  -33  -22  -24  -28  -26   -6    4   -1
1924   -24  -26  -10  -29  -20  -19  -17  -20  -22  -23  -13  -31
1925   -28  -25  -18  -16  -23  -25  -19  -12  -16  -19    0   16
1926    22   12   22   -4  -12  -13   -8    1   -4   -2   -6  -21
1927   -19   -4  -29  -21  -19  -15   -4  -14   -7    4    0  -29
1928     5    1  -16  -23  -24  -27  -11  -14  -10   -9    0   -6
1929   -31  -41  -22  -29  -31  -29  -24  -22  -20   -6    0  -40
1930   -14  -12   -1  -15  -16  -14   -6   -2  -10   -6   19    0
1931     1  -17    1  -12   -8    7   12    4   -7    6    0    3
1932    18  -11   -9   -1   -8  -17   -8   -9    3    4  -14  -14
1933   -20  -17  -16  -14  -17  -16   -4  -10  -17  -12  -24  -39
1934   -14    5  -23  -22   -3   -5    1   -2  -13    0   11    5
1935   -25   26    0  -25  -21  -13   -9  -11  -13    2  -22  -12
1936   -19  -26  -14   -9   -9   -4   13    2    0    6    7   11
1937     5   22   -5   -6    3    6   11    9   19   16   20   -1
1938    16   11   25   22    7   -2    8    8   14   22   16  -10
1939     2    1  -12   -5    0    3    7   -1    1   -4    6   38
1940   -17    2    6   12    5    5   20   -1    8    2    7   12
1941    11   22    5   15   10    8   13    2  -12   21   12   22
1942    22   -8    0    0    9    5    2   -1    2    3    3    6
1943   -11   13   -5    9   17    3   16    7    6   24   19   26
1944    37   27   22   12   20   12   20   17   28   25   15   13
1945    16   13   13   19   -3    1    4   16    1    8    6   -9
1946    14    9   -3    7   -6  -13   -2  -18   -2   -3   -4  -27
1947    -3    0   15    6   -2   -7   -1   -3   -7   13   12  -10
1948    14   -7   -8   -4    5    5   -9   -7   -8    1   -5  -19
1949    16  -15   -3  -10   -7  -20   -9   -4   -5    0   -6  -10
1950   -24  -26   -1  -18  -13   -5   -8  -18  -11  -16  -30  -10
1951   -32  -39  -17   -9    2   -3   -1   12    9   14    3   18
1952    14   14   -8    6   -1    4    8   10    8   -3  -13   -4
1953    10   18   16   19    8    5    5   10   10   10    1   15
1954   -18   -4   -8  -10  -16  -12  -21  -17  -13   -3   12  -11
1955    19  -13  -29  -16  -18  -12   -6   11   -7    1  -22  -28
1956   -15  -24  -22  -21  -22  -13   -8  -25  -14  -20  -16   -7
1957    -6    3    3   10   12   15    1   12    8    3   12   17
1958    41   23   14    4    7   -9    8   -2   -3    5    5    4
1959    11   12   22   15   10    7    7    1   -8   -3   -8    4
1960     1   18  -32  -13   -6   -3    0    6    5    6  -10   20
1961     5   21   10   11   22   13    1    3    8    7    5  -15
1962     5   18   13   11  -10    7   -3   -5    2    1    8    0
1963     1   19  -13   -7   -2    6   14   26   25    8   14    3
1964    -5   -8  -27  -33  -28   -2   -5  -24  -37  -30  -19  -30
1965   -10  -18  -10  -19   -6  -12  -21   -6  -16   -6   -7   -6
1966   -17   -1   11  -11   -7   -2   11   -5    0  -15    0   -4
1967    -7  -23    8   -2   11   -6    6    1    0   10   -2   -1
1968   -21  -13   24   -4   -9    0   -7   -5  -14   13   -3  -12
1969    -7   -8   -3   20   13   11   -4    0    9   14   16   30
1970    10   23    9    4   -5   -2   -1  -12   14    3    4  -12
1971    -2  -20  -21  -10  -11  -21  -11   -2   -2   -4   -7  -10
1972   -25  -20   -2    0   -2    6    0   20    4    4   -2   18
1973    26   28   25   24   22   16   10    1    6   13    4   -8
1974   -14  -27   -5  -12   -4   -5   -1   11   -9   -7  -10  -11
1975     1    1   11   -3   18   -3   -5  -21   -7  -11  -16  -21
1976    -8  -11  -27  -16  -29  -14  -13  -19  -11  -29  -11    0
1977    10   15   15   19   29   23   20   17   -5   -5   13    1
1978     3    8   12    9    1   -8    4  -21    5   -3    7    1
1979     6  -18    9   11   -6    4   -7    9   19   18   19   39
1980    21   28   22   22   27   10   18   13   13    8   23   10
1981    47   37   43   24   15   20   31   35   12    7   18   29
1982     1    7  -11    2   14    0   13   -6    1    2    4   34
1983    44   37   37   26   30   18   13   30   35   10   23   11
1984    23    6   21    2   30   -5   14   13   18    4   -5  -15
1985    15  -12   12    6    6   12   -3   12    7    5   -2    8
1986    20   38   25   18   12    6    6   11    1    6    1    6
1987    25   37   16   21   18   30   37   15   30   26   23   43
1988    51   35   47   35   37   39   26   28   30   29   -2   18
1989     3   29   27   15    4    7   29   27   32   26    8   27
1990    32   29   67   48   37   31   47   27   17   40   41   37
1991    35   45   29   44   30   49   49   38   39   21   19   24
1992    39   35   36   15   19   16    0    2  -10   -4   -9   12
1993    28   28   29   16   18   10   12    3    0   15    3    6
1994    24   -5   20   27   17   35   21   18   30   37   33   25
1995    43   71   44   39    8   34   50   37   24   44   37   25
1996    26   47   33   25   19   17   38   44   25   17   35   32
1997    27   29   46   33   32   50   26   37   41   50   56   53
1998    52   79   56   56   61   67   71   62   42   40   43   51
1999    40   60   27   27   21   36   30   28   27   31   32   33
2000    17   51   46   53   29   35   33   38   31   19   26   20
2001    38   41   54   39   51   46   51   45   48   44   67   51
2002    71   70   84   58   56   46   57   45   48   49   51   36
2003    64   51   51   49   51   39   48   63   60   66   50   68
2004    52   67   59   52   37   33   22   43   47   58   64   51
2005    68   56   70   64   55   59   55   56   69   71   64   59
2006    44   57   55   47   43   53   43   58   55   60   62   69
2007    87   63   59   66   55   53   51   56   50   55   49   40
